"variablename1","gpi","year","corall","obsall","cor001.060","cor011.070","cor021.080","cor031.090","cor041.100","cor051.110","cor061.120","cor071.130","cor081.140","cor091.150","cor101.163","category"
"Access to public services distributed by urban-rural location ","Internal Peace",2018,-0.669423854247723,157,-0.428436294032375,-0.534442693808378,-0.492775456815077,-0.449181246657919,-0.381076703780696,-0.396752281867944,0.0744800084936793,-0.0320356914113229,-0.180147905957467,0.023548852901318,-0.312375077293913,"pp-wfg"
"Access to small arms ","Internal Peace",2018,0.780314812823786,163,0.728365497256616,0.651806000374642,0.54679790478807,0.535314377566949,0.250701312534556,0.217164034913523,0.286051185086909,0.187482104557198,0.214416285729787,0.188434791560784,0.598872305716968,"np"
"Access to Small Arms Banded ","Internal Peace",2018,0.780314812823786,163,0.728365497256616,0.651806000374642,0.54679790478807,0.535314377566949,0.250701312534556,0.217164034913523,0.286051185086909,0.187482104557198,0.214416285729787,0.188434791560784,0.598872305716968,"np"
"Access to Small Arms Raw ","Internal Peace",2018,0.780314812823786,163,0.728365497256616,0.651806000374642,0.54679790478807,0.535314377566949,0.250701312534556,0.217164034913523,0.286051185086909,0.187482104557198,0.214416285729787,0.188434791560784,0.598872305716968,"np"
"Access to state business opportunities by gender ","Internal Peace",2018,-0.583627962339583,156,-0.465005929386081,-0.574562483896759,-0.381555519461006,-0.305995672344008,-0.224062322293362,-0.19421741270258,-0.131898485677267,-0.161587182646005,-0.13305330514441,0.079471087480025,-0.205179483905556,"pp-aro"
"Access to state business opportunities by political group ","Internal Peace",2018,-0.624775196040298,155,-0.501739339088753,-0.578177276658879,-0.502658440050539,-0.428923804077607,-0.276481510696332,-0.184501513741581,-0.0293183186858838,-0.00362830520950624,-0.250583089816967,-0.145236807857299,-0.318901713015998,"pp-aro"
"Access to state business opportunities by social group ","Internal Peace",2018,-0.667061053331847,156,-0.561937886258608,-0.578162743707471,-0.43673907299307,-0.388105340433673,-0.33821733149822,-0.206327478930372,-0.11917814267922,-0.23920865548948,-0.273008342751572,0.0400259764076899,-0.258063594163857,"pp-aro"
"Access to state business opportunities by socio-economic position ","Internal Peace",2018,-0.640212470774241,156,-0.558809241016423,-0.642000425941475,-0.515948507418616,-0.466654095233735,-0.297407479520242,-0.208449488874221,-0.0744928443203853,-0.113043959214669,-0.25863577214778,-0.0168607119470477,-0.1731861077477,"pp-aro"
"Access to state business opportunities by urban-rural location ","Internal Peace",2018,-0.550195956063294,155,-0.645023553300498,-0.654300867893793,-0.552409138041911,-0.390146594554642,-0.213020875192873,-0.182728305551365,-0.0236057467262245,-0.0454893276342635,-0.151406060109306,0.0943203189426816,-0.0493623071020171,"pp-aro"
"Access to state jobs by gender ","Internal Peace",2018,-0.610033438452095,157,-0.481661869536749,-0.518977874541567,-0.355891151064722,-0.323647240195523,-0.296096409072974,-0.213220817494227,-0.261255611337091,-0.147330151173441,-0.0810776588567818,0.0718964028054188,-0.227220956645384,"pp-aro"
"Access to state jobs by political group ","Internal Peace",2018,-0.638799436164095,157,-0.521076102507405,-0.571924379434707,-0.420833485233918,-0.351154480967187,-0.261234152384102,-0.218691079432561,-0.0865243735158734,-0.0970360175074478,-0.196758932941349,-0.099490019333495,-0.292512556573459,"pp-aro"
"Access to state jobs by social group ","Internal Peace",2018,-0.637709469613572,157,-0.509338697409489,-0.515477626994945,-0.337148260319865,-0.299782712112345,-0.323240353090192,-0.225889116816474,-0.129346079330482,-0.255016336818288,-0.356269306315397,0.00179001691263196,-0.25841272796696,"pp-aro"
"Access to state jobs by socio-economic position ","Internal Peace",2018,-0.633125146223718,157,-0.457089715685994,-0.506496353942941,-0.344235986736448,-0.381892158943193,-0.301166829746541,-0.289811472417691,-0.213316891571419,-0.109575149008259,-0.2340010901381,0.0673651035864762,-0.267880986702486,"pp-aro"
"Access to state jobs by urban-rural location ","Internal Peace",2018,-0.592210885182656,156,-0.521386876572229,-0.466037248638278,-0.368942854392882,-0.335770288205612,-0.270243709238258,-0.36708581059592,-0.114275945056876,-0.0383122334668493,-0.0104424771216035,0.110541030917959,-0.209276999271821,"pp-aro"
"Accountability index ","Internal Peace",2018,-0.517272716893914,162,-0.406191559625676,-0.389097119946135,-0.334046079526171,-0.25655825458905,-0.392096339648176,-0.313172235305185,-0.17304311301388,-0.0816225612343267,-0.0407831797113032,-0.0180609811705777,-0.108566014219764,"pp-aro"
"Additive polyarchy index ","Internal Peace",2018,-0.466837887960887,162,-0.373538674900487,-0.33206020473101,-0.255134271757927,-0.100949577672124,-0.265943801348787,-0.199942104165356,-0.182385078053815,-0.129065311280711,-0.0454079968968701,0.0256790262270006,-0.160893011627228,"other"
"Adjusted net enrollment rate, primary (% of primary school age children) ","Internal Peace",2018,-0.38001091602742,47,-0.050053783504666,-0.0859581439142454,0.0238673769723323,-0.00395947342293767,0.0427112562478216,-0.201633485667279,-0.0461702200662182,-0.120943372843308,-0.04581979470535,-0.406936651876234,-0.43085599453439,"pp-hlh"
"Age - 15-29 Age = 15-29","Internal Peace",2018,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Age - 15-29 Aggregate = Aggregate","Internal Peace",2018,0.60737087426203,138,0.625350984821581,0.62193614157107,0.502803594624067,0.332390979393164,0.221357638256679,0.152681724056884,0.126655262312786,0.0882611919810171,0.228371712918671,-0.10890559793065,0.0673096088638148,"other"
"Age - 15-29 Gender = Female","Internal Peace",2018,0.578698105784474,138,0.578484230958797,0.59277752655764,0.483130778233852,0.296365711016494,0.236987574703734,0.165075290268117,0.0930613084577863,0.0563816750893785,0.254689852481868,-0.0813907899473952,0.0275150854300825,"other"
"Age - 15-29 Gender = Male","Internal Peace",2018,0.602064614308196,138,0.620115898981395,0.598870181108085,0.462035660075006,0.311441282714289,0.182277352853265,0.138115246171294,0.185729792999268,0.134742257101393,0.172598581684694,-0.124463093976225,0.098736223136488,"other"
"Age - 30-49 Age = 30-49","Internal Peace",2018,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Age - 30-49 Aggregate = Aggregate","Internal Peace",2018,0.203398387661719,138,0.357878032651538,0.2403244807888,0.0691120855449845,-0.143547414769008,-0.0966640808827094,-0.0743901563635023,0.281736500541014,0.232932045077194,-0.102966999271899,-0.140410286029736,-0.134885665416935,"other"
"Age - 30-49 Gender = Female","Internal Peace",2018,0.289082414826702,138,0.526650271513354,0.338018796875102,0.113118876764798,-0.0159839711570479,0.000832279444174937,-0.0950796061417547,0.367053220348158,0.336694100006683,-0.138270679452552,-0.296057252651518,-0.129491263798786,"other"
"Age - 30-49 Gender = Male","Internal Peace",2018,0.0673864629483098,138,0.117609414509183,0.109224038788316,0.0383100107527418,-0.206383674101771,-0.15151511435747,-0.0147023118190299,0.110763306887333,0.0638468494756491,-0.0650690174705905,0.0259851324537672,-0.0925461315759102,"other"
"Age - 50+ Age = 50+","Internal Peace",2018,NA,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Age - 50+ Aggregate = Aggregate","Internal Peace",2018,-0.605618908263452,138,-0.63415814421656,-0.600101880333843,-0.450516291427354,-0.228454819924751,-0.184697379121736,-0.150303720777399,-0.217120576939335,-0.165749654142294,-0.197834465240902,0.182213088373155,0.00455410365772548,"other"
"Age - 50+ Gender = Female","Internal Peace",2018,-0.604249132083057,138,-0.637976735200213,-0.606448334915036,-0.468018967627361,-0.256909173136288,-0.24098889487568,-0.1499961092944,-0.205337221442894,-0.158048665422787,-0.234974487677289,0.173998114663302,0.0183093586009011,"other"
"Age - 50+ Gender = Male","Internal Peace",2018,-0.586268425438308,138,-0.594937021392632,-0.571334766687879,-0.426125040756858,-0.181342787908438,-0.113114958341843,-0.145064279015341,-0.215404772516346,-0.170940013791913,-0.157740759604211,0.157812448248189,-0.0140220268627331,"other"
"Age dependency ratio (% of working-age population) ","Internal Peace",2018,0.372674231058137,160,0.0712151724471366,0.268767307378448,0.350953370722395,0.339416087149846,0.16665738314548,0.0714183565335279,-0.0676146058600242,-0.0860264933249275,0.201481570778556,0.035071912856954,0.301428148860537,"other"
"Age dependency ratio, old (% of working-age population) ","Internal Peace",2018,-0.589544582268522,160,-0.559568044440957,-0.571372364808457,-0.471414608354444,-0.271719625662805,-0.195082407022196,-0.126386897143929,-0.183214818694938,-0.240599931647814,-0.225309116812717,0.132292622342246,-0.093696127040389,"other"
"Age dependency ratio, young (% of working-age population) ","Internal Peace",2018,0.539358716011535,160,0.481887959329542,0.538205137945163,0.507006668156571,0.386210386023982,0.199526048043716,0.095543289094042,-0.00272389979521363,-0.00577386282830044,0.221132202451463,0.00507827824334852,0.283201355697036,"other"
"Age population, age 06, female, interpolated ","Internal Peace",2018,0.169167749548353,160,0.229667105111296,0.178691742767433,0.0564644093046399,-0.0139623961064601,0.119033006067002,0.0889984229629265,0.0709107378129689,0.17026547778419,0.062909219656304,0.0250103531082166,0.0446597960899676,"other"
"Age population, age 06, male, interpolated ","Internal Peace",2018,0.160747211927613,160,0.228915240201161,0.17575458220129,0.0530965677739833,-0.0191248443686923,0.121513371902613,0.091827578141764,0.0674982167565741,0.166196307365115,0.0565653060064641,0.0174111779899347,0.0393699555484407,"other"
"Age population, age 07, female, interpolated ","Internal Peace",2018,0.16549377965567,160,0.228324759344713,0.176251354808919,0.0537147538524011,-0.0163388976500234,0.118297406211223,0.0893740102730024,0.0710012164985257,0.172266253168358,0.0638712646744291,0.023717122397179,0.0404809379053184,"other"
"Age population, age 07, male, interpolated ","Internal Peace",2018,0.156979134966675,160,0.227557430177158,0.173198813570296,0.0503469290528906,-0.0217282930573514,0.120939580396838,0.0921329472612204,0.0673828065896983,0.167937894515483,0.0573028005481886,0.0157752614818128,0.0352402204337998,"other"
"Age population, age 08, female, interpolated ","Internal Peace",2018,0.161919543563344,160,0.226900293981255,0.173811089872028,0.0511771699244466,-0.0185725252235832,0.117575565366482,0.0896960806698128,0.0712195889394794,0.174284338255375,0.0648958478596292,0.0224955626228307,0.0364142581267329,"other"
"Age population, age 08, male, interpolated ","Internal Peace",2018,0.153348822885298,160,0.226138309389085,0.170639720664687,0.0478104563576712,-0.0241504777794151,0.120369410186377,0.0923627143913331,0.0674068255811446,0.169778963518836,0.0581753878566254,0.0143143977292566,0.0312159128934172,"other"
"Age population, age 09, female, interpolated ","Internal Peace",2018,0.158380507039226,160,0.225395765843478,0.171289528490417,0.0487090181729563,-0.0207460671254507,0.116874799404205,0.0900500179185461,0.0715384163366194,0.176295913672915,0.0659439194322613,0.0212830266629443,0.0324238852010335,"other"
"Age population, age 09, male, interpolated ","Internal Peace",2018,0.149782351181044,160,0.224675762633267,0.168003958963245,0.0453302759607192,-0.026535728235693,0.119798857183687,0.0925913014376606,0.0675347422494207,0.171667923617175,0.0591267612724202,0.0129310340329774,0.0272714686158222,"other"
"Age population, age 10, female, interpolated ","Internal Peace",2018,0.155264739153112,160,0.223738230205036,0.168888368158506,0.0469032194211268,-0.0225099927578596,0.116200906120319,0.0899925394831768,0.0720506264958178,0.177950710361592,0.0667290364436777,0.0202787041867937,0.0289241262804596,"other"
"Age population, age 10, male, interpolated ","Internal Peace",2018,0.146690913520149,160,0.222976709702144,0.165447859239799,0.0435594865992579,-0.0282718346081401,0.119268401624872,0.0924600436414223,0.0679121123923203,0.173371831160697,0.0599597790652311,0.0119705955293211,0.0237804430908021,"other"
"Age population, age 11, female, interpolated ","Internal Peace",2018,0.152723879451552,160,0.221920911509181,0.166695287446506,0.0460036610447576,-0.0237196234192464,0.115565281806574,0.0893334017468438,0.0727880751367253,0.179092681996385,0.0671037071686666,0.0195429062439693,0.0260521590892678,"other"
"Age population, age 11, male, interpolated ","Internal Peace",2018,0.144230145493802,160,0.220972988127287,0.163032718607389,0.0427605760270306,-0.0291135893236066,0.118798285369636,0.091817390257165,0.0685968984114486,0.174777062534919,0.0605625996774125,0.0115481979875044,0.0208680163637445,"other"
"Age population, age 12, female, interpolated ","Internal Peace",2018,0.150537597094503,160,0.219969532677923,0.164533844177463,0.0456231843069634,-0.0245943595585474,0.114981614189086,0.0883299150772103,0.0736779351364824,0.179823463369795,0.0671179162129828,0.018923541315763,0.0235872376101293,"other"
"Age population, age 12, male, interpolated ","Internal Peace",2018,0.142161320342558,160,0.218745828476484,0.160604053799683,0.0425063679772371,-0.029451958763824,0.118372412897078,0.0908742629123204,0.0694954404456236,0.175916772227352,0.0609387369582988,0.011421374545533,0.0183381045700762,"other"
"Age population, age 13, female, interpolated ","Internal Peace",2018,0.148342517463633,160,0.217997155592129,0.162273376982045,0.0451823362466038,-0.0255295526985542,0.114425642950237,0.0874150877620264,0.0745914121085828,0.180423259713839,0.066988900920549,0.018212238547712,0.0211547077702199,"other"
"Age population, age 13, male, interpolated ","Internal Peace",2018,0.140097536455054,160,0.216541164963857,0.158074318671331,0.0421523366276785,-0.0299401887512809,0.117934119424247,0.0899803248295702,0.0704373254707722,0.176956512677919,0.0612159688112837,0.0112415146536393,0.0158589428445032,"other"
"Age population, age 14, female, interpolated ","Internal Peace",2018,0.146220179660878,160,0.216047085829186,0.160074125468301,0.0448440662945667,-0.0264841604203483,0.113868883062648,0.0864876419146983,0.0755203704516141,0.180848647784063,0.0666867764482587,0.0174582173450333,0.0188177796017225,"other"
"Age population, age 14, male, interpolated ","Internal Peace",2018,0.138129017801149,160,0.214396168378367,0.155590222520351,0.0418675674855552,-0.0304708619134969,0.117468739315304,0.0890477965601134,0.0714335728457056,0.177881985899631,0.0613804027261779,0.0110980821892561,0.0134892949147012,"other"
"Age population, age 15, female, interpolated ","Internal Peace",2018,0.14385306436253,160,0.213823644350767,0.156920489650011,0.0436522571608614,-0.0277322238500799,0.113532559559611,0.0860848702538504,0.0764102646241129,0.180826074454958,0.0658630980821048,0.0163098611370062,0.0164943097443572,"other"
"Age population, age 15, male, interpolated ","Internal Peace",2018,0.135894363232719,160,0.212014776350191,0.152205960630725,0.0406612231928498,-0.0317024891174929,0.117101575461618,0.0885657434509377,0.0723658409456233,0.178303979162736,0.0610400141098692,0.0104377623817654,0.0111499734548336,"other"
"Age population, age 16, female, interpolated ","Internal Peace",2018,0.141057436714048,160,0.211221056380199,0.152339188245389,0.0410883704152632,-0.0294666204589367,0.113514508720132,0.0865114001365025,0.0772019182296121,0.180245525723333,0.0643715901532536,0.0145774609902658,0.0141134273449974,"other"
"Age population, age 16, male, interpolated ","Internal Peace",2018,0.133183378278232,160,0.209312138942002,0.147484269704917,0.0379866258719107,-0.0340436520734295,0.116887122940529,0.088815890703244,0.0731376208821922,0.178042974969482,0.0600130510261217,0.00895405281806513,0.00876981846626173,"other"
"Age population, age 17, female, interpolated ","Internal Peace",2018,0.13798050376531,160,0.208395114906054,0.146823792706059,0.0375630913328361,-0.0316145074550357,0.113694353009936,0.0875192939003407,0.0778750220382306,0.179188418684157,0.062334144296876,0.0124094224650103,0.0117230369920471,"other"
"Age population, age 17, male, interpolated ","Internal Peace",2018,0.13015920411222,160,0.206455052553692,0.141879432383705,0.034256865592847,-0.037263533671564,0.116757065940232,0.0895801204912952,0.073762378492459,0.177230074192592,0.0584339223596212,0.00687978235737689,0.00639021231518525,"other"
"Age population, age 18, female, interpolated ","Internal Peace",2018,0.134897812857252,160,0.205577328391814,0.141371856880102,0.0341082819632468,-0.0337676124886886,0.114042385894939,0.0885589928064897,0.0784170166350928,0.177726428612967,0.0599182862173045,0.00999848470269135,0.00942496496665296,"other"
"Age population, age 18, male, interpolated ","Internal Peace",2018,0.127162313378327,160,0.20363183650002,0.136331704223689,0.0305667600828715,-0.0405162426143807,0.116760296691006,0.0903687635470313,0.07431497582332,0.176086560109989,0.0565438537822271,0.00464647995983047,0.00410444037726676,"other"
"Age population, age 19, female, interpolated ","Internal Peace",2018,0.131692904974522,160,0.202659055373897,0.135799606551919,0.0306337596217371,-0.0358379759423416,0.114760274689115,0.0897053319065817,0.0787693552537204,0.175701089627782,0.0569826900483323,0.00714713597725798,0.00718378680381442,"other"
"Age population, age 19, male, interpolated ","Internal Peace",2018,0.124085384509078,160,0.200696674935734,0.130679582351817,0.0268448004333585,-0.0437299603494651,0.117075398280186,0.0912613862883221,0.0747390220211739,0.174454725670373,0.0542093003274291,0.00204811753283432,0.00187262883840631,"other"
"Age population, age 20, female, interpolated ","Internal Peace",2018,0.128608193308127,160,0.200167981261179,0.130524674348908,0.0267072030732471,-0.0387818580880132,0.114826528961269,0.0910047986712933,0.0790325562249682,0.173696714219993,0.0540181989239691,0.00453278209177388,0.00501327537649118,"other"
"Age population, age 20, male, interpolated ","Internal Peace",2018,0.121081901694452,160,0.198450143163459,0.12525775635754,0.0224693740384221,-0.0481721730501805,0.116779450528903,0.0922612674143593,0.0750625899189812,0.172774204053308,0.0517744182669911,-0.000409369749453454,-0.000248407635469302,"other"
"Age population, age 21, female, interpolated ","Internal Peace",2018,0.125766875530952,160,0.198330961582016,0.125847980329242,0.0222629693676097,-0.0429589487910184,0.113849146410111,0.0924441140781283,0.0792422662053014,0.171971590624424,0.0512372578921089,0.0024414834327081,0.00292653103238246,"other"
"Age population, age 21, male, interpolated ","Internal Peace",2018,0.118246640516409,160,0.197233838078413,0.12033090641034,0.0173039911966549,-0.0542775717635027,0.115512432400325,0.0933342822109169,0.0753013239798117,0.171256877459912,0.0494007782863387,-0.00248037174101685,-0.00222294801366734,"other"
"Age population, age 22, female, interpolated ","Internal Peace",2018,0.12299624431974,160,0.196823786212134,0.121550628505971,0.0175189911443884,-0.0478504018676173,0.11242294852422,0.0940162225816238,0.0793035236604038,0.170164845836266,0.0483362738232161,0.00044475215360402,0.000898404433148659,"other"
"Age population, age 22, male, interpolated ","Internal Peace",2018,0.115459176671925,160,0.19657585536769,0.115730329188744,0.0116704882356919,-0.0613508783497381,0.113812623808297,0.0944964877837927,0.0754002217210395,0.169614000253407,0.046857860302412,-0.00450280532558914,-0.00409410581464248,"other"
"Age population, age 23, female, interpolated ","Internal Peace",2018,0.120245858667039,160,0.195122562731404,0.117139169634315,0.0127748675507574,-0.0526395543932281,0.111062601440076,0.0954839764509907,0.0794003887388143,0.168332138420922,0.0454372176217729,-0.00154929674498024,-0.00108834760333279,"other"
"Age population, age 23, male, interpolated ","Internal Peace",2018,0.11270176130215,160,0.195669930219758,0.111032910138987,0.00605643686795944,-0.0682759402287535,0.112171540551806,0.0955830908815572,0.075545957069687,0.167944607128533,0.0443117996279326,-0.00652924243238238,-0.00592968432617774,"other"
